gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5062167395	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.406454	16.923098							2013-04-23	23	4	2013	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0160043				CC_BY_4_0		Naser Grażyna			2026-06-04T22:52:58.951Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3478009784	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.784402	17.521403							2001-05-05	5	5	2001	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143633		Czarna A.		CC_BY_4_0		Czarna A.			2026-06-04T22:53:06.161Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3478005741	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.504457	17.017823							2010-10-17	17	10	2010	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143632		Celka Mikołaj		CC_BY_4_0		Celka Mikołaj			2026-06-04T22:53:06.857Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477950745	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.					PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6													3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143644				CC_BY_4_0		s.leg.			2026-06-04T22:52:45.887Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3477949745	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.					PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6													3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143643				CC_BY_4_0		s.leg.			2026-06-04T22:52:46.089Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3477947462	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1980			1980	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004989		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:45.953Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477942437	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1979			1979	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004988		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:45.960Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477941472	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1979			1979	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004987		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:55.930Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477937482	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.452585	17.529145							1963-07-28	28	7	1963	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004985		Burzyńska K.		CC_BY_4_0		Burzyńska K.			2026-06-04T22:53:06.119Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477932430	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	50.76039	20.76841							1960			1960	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004986		Głazek T.		CC_BY_4_0		Głazek T.			2026-06-04T22:52:55.859Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
